Player,Game,Score,Accuracy,PlayTimeMinutes,SkillTier
PixelPete,Galaga,117142,91,36,Pro Gamer
KongKiller,Pac-Man,131001,81,19,Grandmaster
NeoGeo,Donkey Kong,127266,73,38,Grandmaster
BlipBlop,Pac-Man,39762,75,29,Casual
KongKiller,Frogger,51041,75,33,Casual
SegaSam,Donkey Kong,131380,67,2,Grandmaster
PixelPete,Pac-Man,46927,83,15,Casual
ChompQueen,Space Invaders,50498,92,20,Casual
NeoGeo,Frogger,26690,89,19,Novice
BlipBlop,Frogger,47059,92,30,Casual
SegaSam,Frogger,76488,95,16,Casual
NeoGeo,Frogger,84233,92,10,Pro Gamer
ChompQueen,Frogger,28372,100,22,Novice
KongKiller,Frogger,19590,97,22,Novice
NeoGeo,Frogger,117678,99,5,Pro Gamer
SegaSam,Frogger,54052,96,41,Casual
PixelPete,Pac-Man,50880,67,27,Casual
ChompQueen,Pac-Man,127757,93,6,Grandmaster
RetroRider,Space Invaders,6486,81,34,Novice
KongKiller,Pac-Man,50201,67,5,Casual
ChompQueen,Frogger,19542,82,29,Novice
KongKiller,Pac-Man,145372,70,21,Grandmaster
KongKiller,Frogger,65862,72,33,Casual
SegaSam,Galaga,111978,78,12,Pro Gamer
PixelPete,Donkey Kong,70947,69,45,Casual
KongKiller,Donkey Kong,114410,91,34,Pro Gamer
ChompQueen,Pac-Man,136469,85,31,Grandmaster
PixelPete,Space Invaders,153872,68,28,Grandmaster
PixelPete,Galaga,138905,68,35,Grandmaster
SegaSam,Galaga,98654,85,8,Pro Gamer
NeoGeo,Space Invaders,99327,85,36,Pro Gamer
RetroRider,Donkey Kong,108338,92,33,Pro Gamer
ChompQueen,Space Invaders,84538,70,14,Pro Gamer
KongKiller,Pac-Man,95842,92,37,Pro Gamer
PixelPete,Space Invaders,106879,86,36,Pro Gamer
BlipBlop,Frogger,19947,87,42,Novice
ChompQueen,Galaga,42286,92,22,Casual
RetroRider,Space Invaders,74769,96,34,Casual
PixelPete,Donkey Kong,51204,91,27,Casual
ChompQueen,Donkey Kong,52744,61,16,Casual
BlipBlop,Galaga,126649,78,27,Grandmaster
ChompQueen,Pac-Man,90249,93,10,Pro Gamer
PixelPete,Donkey Kong,105518,86,14,Pro Gamer
ChompQueen,Galaga,34616,62,42,Casual
BlipBlop,Frogger,34022,90,33,Casual
KongKiller,Donkey Kong,61690,63,12,Casual
PixelPete,Space Invaders,153374,73,13,Grandmaster
BlipBlop,Galaga,52539,97,23,Casual
KongKiller,Space Invaders,69680,90,17,Casual
KongKiller,Pac-Man,135941,62,23,Grandmaster
NeoGeo,Pac-Man,41610,78,42,Casual
RetroRider,Space Invaders,145940,71,37,Grandmaster
KongKiller,Donkey Kong,118596,64,21,Pro Gamer
RetroRider,Galaga,126654,69,8,Grandmaster
RetroRider,Pac-Man,74183,99,24,Casual
ChompQueen,Pac-Man,132696,83,9,Grandmaster
ChompQueen,Frogger,42481,62,44,Casual
NeoGeo,Donkey Kong,79659,62,45,Casual
NeoGeo,Donkey Kong,20974,83,24,Novice
RetroRider,Galaga,68077,62,24,Casual
ChompQueen,Donkey Kong,100777,75,20,Pro Gamer
ChompQueen,Space Invaders,144596,85,34,Grandmaster
NeoGeo,Frogger,75368,86,35,Casual
PixelPete,Pac-Man,13597,73,46,Novice
NeoGeo,Donkey Kong,152078,67,17,Grandmaster
SegaSam,Space Invaders,144130,71,28,Grandmaster
BlipBlop,Galaga,5170,88,37,Novice
NeoGeo,Galaga,86833,69,29,Pro Gamer
KongKiller,Frogger,5638,75,35,Novice
PixelPete,Space Invaders,31712,68,5,Casual
KongKiller,Donkey Kong,90186,68,34,Pro Gamer
NeoGeo,Pac-Man,39366,93,44,Casual
SegaSam,Pac-Man,119623,96,13,Pro Gamer
ChompQueen,Space Invaders,54445,92,40,Casual
KongKiller,Pac-Man,51521,82,34,Casual
RetroRider,Pac-Man,98460,91,25,Pro Gamer
PixelPete,Space Invaders,29596,89,42,Novice
RetroRider,Pac-Man,152056,96,36,Grandmaster
NeoGeo,Frogger,25207,84,24,Novice
SegaSam,Donkey Kong,48050,77,46,Casual
SegaSam,Pac-Man,22463,79,11,Novice
NeoGeo,Pac-Man,140148,75,6,Grandmaster
ChompQueen,Space Invaders,30707,77,15,Casual
PixelPete,Pac-Man,35484,74,2,Casual
PixelPete,Galaga,36606,75,31,Casual
NeoGeo,Donkey Kong,16770,92,21,Novice
KongKiller,Donkey Kong,60393,70,20,Casual
SegaSam,Pac-Man,100846,63,14,Pro Gamer
ChompQueen,Donkey Kong,81207,94,34,Pro Gamer
KongKiller,Galaga,44811,72,8,Casual
ChompQueen,Galaga,6883,83,10,Novice
NeoGeo,Frogger,36943,85,46,Casual
SegaSam,Frogger,70716,90,33,Casual
SegaSam,Donkey Kong,88500,90,14,Pro Gamer
ChompQueen,Frogger,25401,74,38,Novice
BlipBlop,Galaga,18904,61,41,Novice
ChompQueen,Galaga,125520,98,46,Grandmaster
NeoGeo,Donkey Kong,143319,85,8,Grandmaster
ChompQueen,Donkey Kong,149658,74,42,Grandmaster
KongKiller,Donkey Kong,27826,93,15,Novice
NeoGeo,Space Invaders,71769,87,23,Casual
KongKiller,Pac-Man,133249,95,23,Grandmaster
BlipBlop,Galaga,52209,90,36,Casual
NeoGeo,Pac-Man,54028,66,5,Casual
PixelPete,Space Invaders,131932,84,43,Grandmaster
SegaSam,Donkey Kong,108719,82,8,Pro Gamer
RetroRider,Galaga,123888,92,43,Grandmaster
SegaSam,Space Invaders,55043,69,14,Casual
NeoGeo,Donkey Kong,39029,64,17,Casual
SegaSam,Donkey Kong,90401,83,19,Pro Gamer
NeoGeo,Donkey Kong,103690,92,2,Pro Gamer
BlipBlop,Frogger,130793,60,31,Grandmaster
KongKiller,Frogger,11085,93,22,Novice
SegaSam,Galaga,90776,70,2,Pro Gamer
ChompQueen,Galaga,136705,99,22,Grandmaster
NeoGeo,Pac-Man,48160,73,35,Casual
ChompQueen,Donkey Kong,77010,69,42,Casual
RetroRider,Pac-Man,115097,85,37,Pro Gamer
ChompQueen,Space Invaders,60317,94,39,Casual
BlipBlop,Space Invaders,16588,89,33,Novice
RetroRider,Galaga,67908,97,9,Casual
SegaSam,Frogger,68872,71,29,Casual
BlipBlop,Space Invaders,142101,71,18,Grandmaster
NeoGeo,Donkey Kong,137141,70,30,Grandmaster
NeoGeo,Pac-Man,20803,91,17,Novice
ChompQueen,Pac-Man,117165,69,4,Pro Gamer
ChompQueen,Galaga,149844,82,7,Grandmaster
PixelPete,Pac-Man,42323,99,42,Casual
ChompQueen,Galaga,59938,65,44,Casual
ChompQueen,Galaga,119683,77,20,Pro Gamer
KongKiller,Pac-Man,76230,88,45,Casual
BlipBlop,Pac-Man,64208,73,45,Casual
PixelPete,Pac-Man,153463,63,21,Grandmaster
PixelPete,Pac-Man,110869,89,8,Pro Gamer
PixelPete,Pac-Man,143961,64,37,Grandmaster
RetroRider,Pac-Man,29690,77,16,Novice
SegaSam,Galaga,78537,60,44,Casual
BlipBlop,Pac-Man,65728,92,45,Casual
BlipBlop,Donkey Kong,100157,79,15,Pro Gamer
ChompQueen,Donkey Kong,78335,61,7,Casual
BlipBlop,Frogger,83537,88,11,Pro Gamer
KongKiller,Frogger,27940,98,17,Novice
BlipBlop,Donkey Kong,36021,72,44,Casual
KongKiller,Frogger,81984,91,34,Pro Gamer
NeoGeo,Frogger,31674,64,11,Casual
SegaSam,Space Invaders,9059,68,45,Novice
RetroRider,Galaga,127605,91,11,Grandmaster
PixelPete,Galaga,62384,91,25,Casual
SegaSam,Galaga,28290,81,43,Novice
PixelPete,Donkey Kong,27057,73,46,Novice
SegaSam,Frogger,97426,86,32,Pro Gamer
NeoGeo,Galaga,88082,71,42,Pro Gamer
KongKiller,Galaga,45800,99,26,Casual
PixelPete,Galaga,108019,65,9,Pro Gamer
KongKiller,Frogger,10037,75,31,Novice
KongKiller,Donkey Kong,55935,67,33,Casual
BlipBlop,Pac-Man,86748,81,46,Pro Gamer
ChompQueen,Frogger,66065,76,32,Casual
PixelPete,Space Invaders,65752,100,35,Casual
PixelPete,Space Invaders,11374,97,3,Novice
NeoGeo,Donkey Kong,124595,62,46,Grandmaster
NeoGeo,Donkey Kong,18309,70,44,Novice
BlipBlop,Frogger,113864,72,33,Pro Gamer
PixelPete,Donkey Kong,96458,91,44,Pro Gamer
RetroRider,Space Invaders,145616,84,42,Grandmaster
SegaSam,Space Invaders,60026,78,2,Casual
PixelPete,Space Invaders,22274,89,11,Novice
RetroRider,Frogger,142800,67,20,Grandmaster
KongKiller,Donkey Kong,53820,89,21,Casual
ChompQueen,Frogger,23902,60,11,Novice
KongKiller,Galaga,17448,70,32,Novice
BlipBlop,Pac-Man,33695,69,7,Casual
NeoGeo,Frogger,125760,74,46,Grandmaster
RetroRider,Pac-Man,79457,71,44,Casual
PixelPete,Frogger,120138,70,2,Grandmaster
NeoGeo,Space Invaders,142935,89,46,Grandmaster
NeoGeo,Donkey Kong,72135,88,13,Casual
BlipBlop,Donkey Kong,17108,79,11,Novice
SegaSam,Pac-Man,126525,92,19,Grandmaster
SegaSam,Pac-Man,50908,92,15,Casual
NeoGeo,Donkey Kong,34957,90,22,Casual
ChompQueen,Frogger,110267,71,32,Pro Gamer
ChompQueen,Frogger,115496,73,40,Pro Gamer
SegaSam,Donkey Kong,121136,81,17,Grandmaster
RetroRider,Space Invaders,145827,92,41,Grandmaster
SegaSam,Space Invaders,10541,100,6,Novice
NeoGeo,Pac-Man,106498,61,32,Pro Gamer
PixelPete,Pac-Man,120509,71,3,Grandmaster
NeoGeo,Frogger,81145,87,39,Pro Gamer
NeoGeo,Space Invaders,149567,69,16,Grandmaster
RetroRider,Galaga,116325,76,35,Pro Gamer
PixelPete,Frogger,152169,78,31,Grandmaster
PixelPete,Space Invaders,84962,95,33,Pro Gamer
PixelPete,Frogger,49421,65,45,Casual
ChompQueen,Frogger,137423,62,25,Grandmaster
SegaSam,Galaga,86848,93,25,Pro Gamer
SegaSam,Frogger,114389,62,14,Pro Gamer
KongKiller,Space Invaders,134321,98,9,Grandmaster
RetroRider,Donkey Kong,26701,69,31,Novice
PixelPete,Pac-Man,72047,96,21,Casual
NeoGeo,Frogger,140455,85,38,Grandmaster
KongKiller,Frogger,32443,86,38,Casual
SegaSam,Space Invaders,22239,76,36,Novice
SegaSam,Space Invaders,128195,79,29,Grandmaster
NeoGeo,Donkey Kong,115634,70,26,Pro Gamer
SegaSam,Frogger,71688,74,14,Casual
RetroRider,Pac-Man,14135,68,30,Novice
NeoGeo,Pac-Man,10719,73,46,Novice
KongKiller,Donkey Kong,14210,92,39,Novice
PixelPete,Galaga,68747,65,36,Casual
NeoGeo,Pac-Man,55627,80,33,Casual
ChompQueen,Frogger,49812,62,28,Casual
BlipBlop,Galaga,87571,84,42,Pro Gamer
PixelPete,Space Invaders,91592,71,27,Pro Gamer
PixelPete,Galaga,64878,72,3,Casual
PixelPete,Galaga,11527,96,16,Novice
BlipBlop,Galaga,97333,61,33,Pro Gamer
KongKiller,Donkey Kong,135524,90,19,Grandmaster
NeoGeo,Donkey Kong,23979,77,19,Novice
NeoGeo,Donkey Kong,118335,93,19,Pro Gamer
ChompQueen,Galaga,43033,73,28,Casual
BlipBlop,Pac-Man,128423,95,28,Grandmaster
NeoGeo,Space Invaders,33084,88,37,Casual
ChompQueen,Pac-Man,151348,69,20,Grandmaster
ChompQueen,Pac-Man,8481,89,43,Novice
SegaSam,Donkey Kong,57499,96,24,Casual
SegaSam,Galaga,112443,95,19,Pro Gamer
BlipBlop,Frogger,12946,78,39,Novice
SegaSam,Donkey Kong,123620,72,2,Grandmaster
PixelPete,Space Invaders,49899,92,21,Casual
RetroRider,Pac-Man,154072,98,21,Grandmaster
NeoGeo,Donkey Kong,92485,62,32,Pro Gamer
KongKiller,Frogger,40121,80,11,Casual
RetroRider,Frogger,77221,82,5,Casual
SegaSam,Galaga,70931,99,36,Casual
PixelPete,Pac-Man,130908,80,38,Grandmaster
SegaSam,Galaga,28248,83,28,Novice
RetroRider,Pac-Man,62617,88,34,Casual
NeoGeo,Space Invaders,152142,61,23,Grandmaster
PixelPete,Frogger,32726,79,6,Casual
RetroRider,Frogger,141997,63,46,Grandmaster
BlipBlop,Space Invaders,53144,66,11,Casual
BlipBlop,Space Invaders,9741,74,43,Novice
BlipBlop,Space Invaders,30168,99,5,Casual
RetroRider,Pac-Man,50020,63,16,Casual
BlipBlop,Pac-Man,18631,95,5,Novice
ChompQueen,Donkey Kong,26983,60,22,Novice
KongKiller,Space Invaders,142821,100,37,Grandmaster
KongKiller,Pac-Man,95182,77,35,Pro Gamer
SegaSam,Frogger,88682,61,29,Pro Gamer
ChompQueen,Space Invaders,72274,84,15,Casual
RetroRider,Space Invaders,102917,86,46,Pro Gamer
SegaSam,Space Invaders,75676,79,13,Casual
PixelPete,Frogger,29929,90,14,Novice
RetroRider,Frogger,36251,77,43,Casual
BlipBlop,Space Invaders,121632,76,43,Grandmaster
BlipBlop,Space Invaders,39344,64,29,Casual
BlipBlop,Donkey Kong,73887,71,42,Casual
BlipBlop,Donkey Kong,107052,100,27,Pro Gamer
ChompQueen,Frogger,142033,89,34,Grandmaster
ChompQueen,Donkey Kong,79327,62,21,Casual
BlipBlop,Pac-Man,122391,61,41,Grandmaster
NeoGeo,Frogger,98309,89,2,Pro Gamer
RetroRider,Galaga,93412,78,41,Pro Gamer
NeoGeo,Pac-Man,124194,88,34,Grandmaster
RetroRider,Frogger,119358,77,5,Pro Gamer
SegaSam,Space Invaders,69557,71,25,Casual
NeoGeo,Pac-Man,99640,92,13,Pro Gamer
KongKiller,Donkey Kong,84240,79,27,Pro Gamer
PixelPete,Space Invaders,114388,74,40,Pro Gamer
RetroRider,Frogger,45566,99,4,Casual
PixelPete,Frogger,91326,85,35,Pro Gamer
SegaSam,Space Invaders,151238,94,11,Grandmaster
BlipBlop,Frogger,118412,96,34,Pro Gamer
KongKiller,Frogger,125765,88,3,Grandmaster
ChompQueen,Space Invaders,41560,78,5,Casual
NeoGeo,Donkey Kong,76897,86,25,Casual
KongKiller,Donkey Kong,153192,81,46,Grandmaster
BlipBlop,Frogger,42368,68,32,Casual
KongKiller,Pac-Man,123356,87,44,Grandmaster
RetroRider,Galaga,52255,69,22,Casual
NeoGeo,Pac-Man,14622,80,41,Novice
PixelPete,Pac-Man,18102,83,31,Novice
NeoGeo,Galaga,138688,79,4,Grandmaster
NeoGeo,Frogger,104306,80,43,Pro Gamer
NeoGeo,Space Invaders,58182,81,28,Casual
RetroRider,Pac-Man,72403,86,8,Casual
ChompQueen,Galaga,137340,80,4,Grandmaster
SegaSam,Donkey Kong,78781,87,9,Casual
RetroRider,Donkey Kong,13274,91,7,Novice
SegaSam,Galaga,59395,74,19,Casual
PixelPete,Frogger,109131,68,12,Pro Gamer
KongKiller,Pac-Man,50773,78,10,Casual
ChompQueen,Frogger,112197,62,19,Pro Gamer
NeoGeo,Donkey Kong,150451,97,35,Grandmaster
BlipBlop,Space Invaders,131610,89,29,Grandmaster
ChompQueen,Pac-Man,90882,68,14,Pro Gamer
ChompQueen,Space Invaders,73893,61,18,Casual
SegaSam,Donkey Kong,83459,85,20,Pro Gamer
NeoGeo,Frogger,142104,86,33,Grandmaster
KongKiller,Donkey Kong,145836,70,37,Grandmaster
BlipBlop,Donkey Kong,121722,74,25,Grandmaster
NeoGeo,Frogger,40791,64,15,Casual
BlipBlop,Frogger,9430,64,21,Novice
NeoGeo,Pac-Man,31423,74,20,Casual
RetroRider,Frogger,101653,96,8,Pro Gamer
BlipBlop,Frogger,49058,88,40,Casual
SegaSam,Pac-Man,108277,78,39,Pro Gamer
NeoGeo,Frogger,48008,93,26,Casual
KongKiller,Pac-Man,31899,76,27,Casual
SegaSam,Donkey Kong,127050,89,8,Grandmaster
PixelPete,Space Invaders,123051,65,32,Grandmaster
NeoGeo,Space Invaders,58390,90,31,Casual
KongKiller,Space Invaders,110032,74,6,Pro Gamer
KongKiller,Galaga,66728,87,46,Casual
NeoGeo,Pac-Man,14926,78,12,Novice
NeoGeo,Donkey Kong,139371,97,42,Grandmaster
PixelPete,Donkey Kong,89708,91,43,Pro Gamer
PixelPete,Pac-Man,39381,92,44,Casual
KongKiller,Frogger,76360,73,3,Casual
BlipBlop,Space Invaders,118025,69,7,Pro Gamer
ChompQueen,Frogger,149882,64,24,Grandmaster
PixelPete,Donkey Kong,15966,68,10,Novice
BlipBlop,Frogger,133250,64,26,Grandmaster
KongKiller,Donkey Kong,122198,78,39,Grandmaster
SegaSam,Frogger,153253,95,31,Grandmaster
ChompQueen,Pac-Man,31234,94,24,Casual
SegaSam,Donkey Kong,122809,72,29,Grandmaster
KongKiller,Frogger,141385,94,10,Grandmaster
BlipBlop,Frogger,89242,100,11,Pro Gamer
BlipBlop,Space Invaders,117887,70,31,Pro Gamer
NeoGeo,Donkey Kong,50829,76,4,Casual
ChompQueen,Frogger,146363,87,33,Grandmaster
KongKiller,Frogger,76649,62,45,Casual
NeoGeo,Pac-Man,112249,93,44,Pro Gamer
BlipBlop,Donkey Kong,92381,90,46,Pro Gamer
ChompQueen,Space Invaders,68791,75,38,Casual
NeoGeo,Donkey Kong,41557,90,25,Casual
ChompQueen,Pac-Man,108180,87,31,Pro Gamer
NeoGeo,Space Invaders,149245,66,10,Grandmaster
NeoGeo,Donkey Kong,59339,91,9,Casual
ChompQueen,Donkey Kong,65952,65,15,Casual
RetroRider,Galaga,41477,78,32,Casual
BlipBlop,Pac-Man,35858,78,31,Casual
SegaSam,Space Invaders,124709,72,9,Grandmaster
RetroRider,Space Invaders,22240,67,19,Novice
SegaSam,Pac-Man,125174,64,43,Grandmaster
SegaSam,Space Invaders,148833,66,12,Grandmaster
ChompQueen,Pac-Man,41511,80,34,Casual
BlipBlop,Space Invaders,124605,77,31,Grandmaster
SegaSam,Galaga,66704,61,22,Casual
RetroRider,Space Invaders,45603,72,18,Casual
SegaSam,Galaga,26773,90,15,Novice
NeoGeo,Frogger,22129,93,15,Novice
RetroRider,Space Invaders,73567,60,8,Casual
SegaSam,Space Invaders,137236,65,7,Grandmaster
NeoGeo,Galaga,54770,61,43,Casual
KongKiller,Space Invaders,55543,91,4,Casual
PixelPete,Pac-Man,63762,69,2,Casual
KongKiller,Space Invaders,154048,72,19,Grandmaster
RetroRider,Donkey Kong,59671,99,25,Casual
KongKiller,Space Invaders,117693,81,26,Pro Gamer
RetroRider,Space Invaders,55032,83,17,Casual
PixelPete,Space Invaders,107094,92,3,Pro Gamer
KongKiller,Galaga,58925,92,40,Casual
PixelPete,Frogger,137811,72,25,Grandmaster
SegaSam,Galaga,92757,96,39,Pro Gamer
PixelPete,Pac-Man,58053,96,15,Casual
NeoGeo,Galaga,85662,63,35,Pro Gamer
NeoGeo,Pac-Man,117562,73,40,Pro Gamer
PixelPete,Donkey Kong,93243,83,10,Pro Gamer
PixelPete,Space Invaders,14162,69,29,Novice
BlipBlop,Pac-Man,118568,76,5,Pro Gamer
BlipBlop,Galaga,95447,95,46,Pro Gamer
KongKiller,Donkey Kong,98658,76,37,Pro Gamer
RetroRider,Galaga,125697,67,5,Grandmaster
ChompQueen,Galaga,67083,73,20,Casual
BlipBlop,Galaga,5166,93,29,Novice
NeoGeo,Galaga,124721,93,8,Grandmaster
RetroRider,Galaga,92216,80,16,Pro Gamer
PixelPete,Donkey Kong,77575,80,15,Casual
ChompQueen,Donkey Kong,40344,95,5,Casual
BlipBlop,Space Invaders,130420,88,31,Grandmaster
KongKiller,Galaga,65744,96,34,Casual
NeoGeo,Pac-Man,28911,60,33,Novice
NeoGeo,Galaga,118878,100,43,Pro Gamer
ChompQueen,Frogger,76757,88,24,Casual
PixelPete,Pac-Man,105843,72,6,Pro Gamer
RetroRider,Pac-Man,48377,91,10,Casual
ChompQueen,Frogger,128523,92,2,Grandmaster
ChompQueen,Galaga,33443,60,3,Casual
RetroRider,Galaga,84255,99,17,Pro Gamer
RetroRider,Donkey Kong,147756,99,46,Grandmaster
BlipBlop,Donkey Kong,103982,92,16,Pro Gamer
NeoGeo,Frogger,73614,85,39,Casual
BlipBlop,Frogger,39427,93,23,Casual
NeoGeo,Pac-Man,70578,92,15,Casual
ChompQueen,Galaga,120663,63,43,Grandmaster
BlipBlop,Space Invaders,112185,77,7,Pro Gamer
SegaSam,Donkey Kong,154206,75,39,Grandmaster
SegaSam,Frogger,151620,99,11,Grandmaster
BlipBlop,Space Invaders,56166,70,17,Casual
KongKiller,Donkey Kong,103287,94,8,Pro Gamer
PixelPete,Pac-Man,146195,75,37,Grandmaster
NeoGeo,Donkey Kong,60561,80,45,Casual
RetroRider,Frogger,96368,96,19,Pro Gamer
PixelPete,Galaga,43200,72,41,Casual
PixelPete,Space Invaders,46136,75,18,Casual
BlipBlop,Frogger,108632,90,40,Pro Gamer
ChompQueen,Pac-Man,143354,94,20,Grandmaster
PixelPete,Pac-Man,12426,87,31,Novice
KongKiller,Donkey Kong,41795,71,5,Casual
ChompQueen,Donkey Kong,61065,72,21,Casual
RetroRider,Frogger,84733,63,3,Pro Gamer
ChompQueen,Space Invaders,26289,62,23,Novice
PixelPete,Donkey Kong,154844,77,16,Grandmaster
PixelPete,Frogger,114569,69,28,Pro Gamer
BlipBlop,Frogger,73088,79,6,Casual
RetroRider,Donkey Kong,51632,98,44,Casual
KongKiller,Frogger,130110,66,14,Grandmaster
ChompQueen,Frogger,9868,95,41,Novice
BlipBlop,Galaga,72626,97,18,Casual
PixelPete,Space Invaders,67893,81,36,Casual
NeoGeo,Galaga,146551,69,19,Grandmaster
SegaSam,Donkey Kong,64601,80,20,Casual
KongKiller,Galaga,13022,62,44,Novice
ChompQueen,Space Invaders,111393,92,23,Pro Gamer
NeoGeo,Galaga,53956,86,27,Casual
KongKiller,Galaga,24586,63,42,Novice
ChompQueen,Space Invaders,75893,66,36,Casual
PixelPete,Frogger,67735,74,24,Casual
BlipBlop,Donkey Kong,64054,60,23,Casual
BlipBlop,Donkey Kong,31961,78,29,Casual
RetroRider,Space Invaders,141784,85,40,Grandmaster
BlipBlop,Donkey Kong,116457,75,44,Pro Gamer
PixelPete,Pac-Man,76288,63,2,Casual
BlipBlop,Pac-Man,49173,75,20,Casual
BlipBlop,Space Invaders,60380,99,17,Casual
NeoGeo,Frogger,114783,63,18,Pro Gamer
KongKiller,Space Invaders,12743,92,11,Novice
KongKiller,Donkey Kong,138668,88,14,Grandmaster
ChompQueen,Space Invaders,147861,96,36,Grandmaster
PixelPete,Donkey Kong,95312,83,20,Pro Gamer
SegaSam,Donkey Kong,36770,84,18,Casual
NeoGeo,Galaga,131743,61,26,Grandmaster
KongKiller,Pac-Man,106140,98,6,Pro Gamer
NeoGeo,Frogger,10103,72,3,Novice
RetroRider,Donkey Kong,54920,63,18,Casual
RetroRider,Frogger,107666,98,39,Pro Gamer
RetroRider,Donkey Kong,75433,64,32,Casual
PixelPete,Space Invaders,43216,98,14,Casual
PixelPete,Galaga,140901,67,12,Grandmaster
RetroRider,Pac-Man,108553,62,31,Pro Gamer
PixelPete,Frogger,144506,69,20,Grandmaster
RetroRider,Donkey Kong,37752,88,22,Casual
ChompQueen,Donkey Kong,7942,78,39,Novice
KongKiller,Galaga,36861,85,34,Casual
ChompQueen,Pac-Man,143947,83,15,Grandmaster
ChompQueen,Galaga,144818,92,16,Grandmaster
NeoGeo,Space Invaders,82841,95,26,Pro Gamer
KongKiller,Pac-Man,152773,95,41,Grandmaster
KongKiller,Donkey Kong,153213,71,23,Grandmaster
NeoGeo,Pac-Man,101597,99,6,Pro Gamer
NeoGeo,Pac-Man,48158,65,16,Casual
BlipBlop,Space Invaders,139758,65,20,Grandmaster
PixelPete,Galaga,50416,98,46,Casual
SegaSam,Space Invaders,31087,92,6,Casual
SegaSam,Galaga,76745,87,13,Casual
ChompQueen,Space Invaders,101860,74,36,Pro Gamer
KongKiller,Space Invaders,42697,74,31,Casual
SegaSam,Space Invaders,38207,62,23,Casual
NeoGeo,Frogger,129999,69,11,Grandmaster
SegaSam,Space Invaders,57015,74,46,Casual
RetroRider,Pac-Man,6701,84,10,Novice
RetroRider,Space Invaders,23715,73,32,Novice
ChompQueen,Galaga,80133,95,34,Pro Gamer
RetroRider,Space Invaders,87896,93,39,Pro Gamer
PixelPete,Galaga,85445,66,36,Pro Gamer
RetroRider,Space Invaders,94454,94,36,Pro Gamer
KongKiller,Pac-Man,41044,64,45,Casual
ChompQueen,Space Invaders,120730,76,28,Grandmaster
PixelPete,Frogger,125177,74,46,Grandmaster
PixelPete,Frogger,8357,67,11,Novice
BlipBlop,Space Invaders,127816,75,37,Grandmaster
RetroRider,Space Invaders,34386,64,12,Casual
BlipBlop,Pac-Man,124965,77,13,Grandmaster
PixelPete,Frogger,146653,85,44,Grandmaster
PixelPete,Space Invaders,30749,83,34,Casual
SegaSam,Galaga,137719,76,42,Grandmaster
BlipBlop,Frogger,66023,69,8,Casual
PixelPete,Pac-Man,91471,95,29,Pro Gamer
BlipBlop,Pac-Man,8338,97,44,Novice
NeoGeo,Galaga,92308,91,31,Pro Gamer
RetroRider,Frogger,154303,78,30,Grandmaster
BlipBlop,Pac-Man,84125,94,42,Pro Gamer
RetroRider,Donkey Kong,125463,83,24,Grandmaster
SegaSam,Donkey Kong,59777,93,33,Casual
KongKiller,Pac-Man,118686,75,28,Pro Gamer
SegaSam,Frogger,91227,62,16,Pro Gamer
ChompQueen,Donkey Kong,49247,86,7,Casual
BlipBlop,Donkey Kong,18846,60,21,Novice
ChompQueen,Space Invaders,101001,93,42,Pro Gamer
NeoGeo,Frogger,10448,94,2,Novice
NeoGeo,Pac-Man,105470,72,4,Pro Gamer
PixelPete,Frogger,23833,62,32,Novice
ChompQueen,Frogger,38916,77,31,Casual
BlipBlop,Space Invaders,129187,69,33,Grandmaster
PixelPete,Frogger,58876,91,23,Casual
ChompQueen,Galaga,8708,99,17,Novice
PixelPete,Donkey Kong,143624,96,18,Grandmaster
PixelPete,Frogger,15470,89,34,Novice
SegaSam,Pac-Man,86897,76,44,Pro Gamer
KongKiller,Frogger,130625,91,24,Grandmaster
KongKiller,Donkey Kong,135614,66,28,Grandmaster
PixelPete,Pac-Man,29535,88,35,Novice
SegaSam,Donkey Kong,64552,73,32,Casual
RetroRider,Pac-Man,146230,75,25,Grandmaster
NeoGeo,Galaga,125074,81,36,Grandmaster
RetroRider,Galaga,140211,78,3,Grandmaster
ChompQueen,Galaga,22237,77,16,Novice
ChompQueen,Frogger,123113,82,39,Grandmaster
KongKiller,Frogger,108161,62,19,Pro Gamer
KongKiller,Space Invaders,148841,70,13,Grandmaster
PixelPete,Space Invaders,34815,95,41,Casual
KongKiller,Pac-Man,78117,85,7,Casual
KongKiller,Frogger,41259,78,16,Casual
RetroRider,Donkey Kong,64134,60,45,Casual
SegaSam,Pac-Man,5119,89,10,Novice
PixelPete,Galaga,76020,83,12,Casual
PixelPete,Pac-Man,101091,65,32,Pro Gamer
RetroRider,Donkey Kong,104140,66,37,Pro Gamer
ChompQueen,Pac-Man,83776,66,17,Pro Gamer
RetroRider,Pac-Man,146724,68,24,Grandmaster
RetroRider,Pac-Man,85131,68,45,Pro Gamer
RetroRider,Space Invaders,98882,63,39,Pro Gamer
NeoGeo,Galaga,118550,77,43,Pro Gamer
BlipBlop,Pac-Man,113059,89,39,Pro Gamer
KongKiller,Pac-Man,52249,65,39,Casual
KongKiller,Pac-Man,115072,76,23,Pro Gamer
BlipBlop,Donkey Kong,57127,90,45,Casual
KongKiller,Space Invaders,127411,81,16,Grandmaster
KongKiller,Frogger,48229,69,38,Casual
PixelPete,Galaga,103168,79,3,Pro Gamer
RetroRider,Space Invaders,135822,69,30,Grandmaster
PixelPete,Donkey Kong,56951,63,22,Casual
